##############################time: 2023-01-27 14:15:25confusion matrix on dev set: 
tensor([[ 870,  214],
        [1122,  849]])
##############################time: 2023-01-27 14:20:05confusion matrix on dev set: 
tensor([[1125,  249],
        [ 867,  814]])
##############################time: 2023-01-27 14:24:49confusion matrix on dev set: 
tensor([[1464,  374],
        [ 528,  689]])
##############################time: 2023-01-27 14:29:29confusion matrix on dev set: 
tensor([[1337,  293],
        [ 655,  770]])
##############################time: 2023-01-27 14:34:09confusion matrix on dev set: 
tensor([[1245,  239],
        [ 747,  824]])
##############################time: 2023-01-27 14:38:47confusion matrix on dev set: 
tensor([[1118,  183],
        [ 874,  880]])
##############################time: 2023-01-27 14:43:29confusion matrix on dev set: 
tensor([[1278,  231],
        [ 714,  832]])
##############################time: 2023-01-27 14:48:09confusion matrix on dev set: 
tensor([[1154,  176],
        [ 838,  887]])
##############################time: 2023-01-27 14:52:48confusion matrix on dev set: 
tensor([[1194,  177],
        [ 798,  886]])
##############################time: 2023-01-27 14:57:28confusion matrix on dev set: 
tensor([[1282,  212],
        [ 710,  851]])
##############################time: 2023-01-27 15:02:07confusion matrix on dev set: 
tensor([[1186,  165],
        [ 806,  898]])
##############################time: 2023-01-27 15:06:45confusion matrix on dev set: 
tensor([[1250,  190],
        [ 742,  873]])
##############################time: 2023-01-27 15:11:27confusion matrix on dev set: 
tensor([[1280,  216],
        [ 712,  847]])
##############################time: 2023-01-27 15:16:05confusion matrix on dev set: 
tensor([[1051,  127],
        [ 941,  936]])
##############################time: 2023-01-27 15:20:46confusion matrix on dev set: 
tensor([[1154,  144],
        [ 838,  919]])
##############################time: 2023-01-27 15:25:26confusion matrix on dev set: 
tensor([[1067,  125],
        [ 925,  938]])
##############################time: 2023-01-27 15:30:07confusion matrix on dev set: 
tensor([[1296,  195],
        [ 696,  868]])
##############################time: 2023-01-27 15:34:47confusion matrix on dev set: 
tensor([[1381,  264],
        [ 611,  799]])
##############################time: 2023-01-27 15:39:29confusion matrix on dev set: 
tensor([[1216,  155],
        [ 776,  908]])
##############################time: 2023-01-27 15:44:11confusion matrix on dev set: 
tensor([[1153,  143],
        [ 839,  920]])
##############################time: 2023-01-27 15:44:24confusion matrix on test set: 
tensor([[1388,  250],
        [ 627,  784]])
